,name,album,artist,release_date,duration_ms,popularity,explicit,available_markets,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
11,The Sky Is Crying,Shake Your Money Maker: The Best Of The Fire Sessions,Elmore James,2001-04-03,166400,54,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HN', 'HU', 'IE', 'IL', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SK', 'SV', 'TN', 'TR', 'US', 'UY', 'ZA']",0.294,0.0226,0.294,0.611,0.435,0.114,-6.268,0.0348,178.191,3
12,Back Door Man,20th Century Masters: The Millennium Collection: The Best Of Howlin' Wolf,Howlin' Wolf,2003-01-01,169693,0,False,[],0.562,0.687,0.562,0.701,1.43e-05,0.0649,-8.061,0.094,157.814,4
13,Dark Road,Masters Of Modern Blues,Floyd Jones,1994-01-01,217120,1,False,[],0.617,0.876,0.617,0.533,0.000843,0.0673,-13.096,0.0345,69.272,4
14,Someday (Electric),Someday,Otis Spann,2012-06-01,206800,40,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.581,0.944,0.581,0.333,0.472,0.332,-14.209,0.032,94.197,3
15,Ice Cream Man,Chess Blues,Various Artists,1992-01-01,168200,0,False,[],0.724,0.762,0.724,0.5,0.000114,0.13,-12.191,0.0524,125.195,4
16,Call My Wife,Come Back Baby,Linsey Alexander,2014-08-19,287640,33,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.667,0.174,0.667,0.757,0.0393,0.0831,-5.88,0.0465,114.78,4
17,Rock Me Baby,The Sonet Blues Story,Mighty Joe Young,1972-01-01,238626,33,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CR', 'CY', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'VN', 'ZA']",0.588,0.118,0.588,0.711,0.0028,0.039,-8.368,0.0404,106.389,4
18,I'm A Man - Single Version,The Chess Box,Bo Diddley,1990-01-01,179973,0,False,[],0.617,0.284,0.617,0.54,0.0,0.511,-13.494,0.0462,127.497,3
19,Madison Blues,The Chess Blues-Rock Songbook,Various Artists,1997-01-01,146800,0,False,[],0.496,0.561,0.496,0.844,0.193,0.201,-6.281,0.0432,135.613,4
20,My Babe - Single Version,His Best,Little Walter,1997-01-01,164373,0,False,[],0.684,0.886,0.684,0.333,0.0,0.286,-10.487,0.0524,157.887,4
21,"I Can't Quit You, Baby",I Am The Blues,Willie Dixon,1970,400760,34,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.459,0.437,0.459,0.248,0.106,0.271,-16.475,0.0365,84.969,4
22,Ain't Times Hard,Count Your Blessings,Various Artists,2003-05-20,241400,31,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.516,0.493,0.516,0.736,0.00247,0.124,-3.7,0.0279,98.21,4
23,Gotta Move On,West Side Strut,Eddy Clearwater,2009-06-18,280440,0,False,[],0.303,0.171,0.303,0.725,1.9e-06,0.336,-3.827,0.0777,185.544,3
24,Lonesome Bedroom Blues,Blowin' Like Hell,William Clarke,1990,345666,0,False,[],0.383,0.295,0.383,0.458,0.00232,0.114,-13.403,0.0316,179.169,3
25,Should I Wait,The Alligator Records Years,Luther Allison,2013-08-06,304600,48,False,"['AE', 'AR', 'AU', 'BH', 'BO', 'BR', 'CA', 'CL', 'CO', 'CR', 'DO', 'DZ', 'EC', 'EE', 'EG', 'GT', 'HK', 'HN', 'ID', 'IL', 'IN', 'JO', 'JP', 'KW', 'LB', 'LT', 'MA', 'MC', 'MX', 'MY', 'NI', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PS', 'PY', 'QA', 'SA', 'SG', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.638,0.0315,0.638,0.738,0.000634,0.211,-9.563,0.0271,104.098,3
26,Everything's Gonna Be All Right,Heartaches And Pain,Carey Bell,1994-01-01,279800,33,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.692,0.883,0.692,0.625,0.0888,0.282,-10.375,0.0362,118.774,4
27,Little Red Rooster,Aron Burton Live,Aron Burton,1996,378493,32,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.395,0.419,0.395,0.458,0.000132,0.594,-12.527,0.0462,168.933,3
28,Lovesick Soul,The Sonet Blues Story,Eddie Boyd,2005-01-01,236733,28,False,"['AD', 'AE', 'AT', 'BE', 'BH', 'BO', 'CA', 'CH', 'CR', 'CY', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'FI', 'FR', 'GR', 'GT', 'HN', 'ID', 'IL', 'IN', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LV', 'MA', 'MC', 'MX', 'NI', 'NL', 'NZ', 'OM', 'PA', 'PE', 'PY', 'QA', 'SA', 'SE', 'SG', 'SV', 'TN', 'TR', 'US', 'VN', 'ZA']",0.608,0.684,0.608,0.565,0.00136,0.145,-7.807,0.0411,87.583,4
29,Slow Down Baby,When The Blues Hit You,Lester Davenport,1992,358200,30,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.45,0.177,0.45,0.347,0.0551,0.102,-16.269,0.0349,157.47,3
30,I Wish I Had Somebody,American Blues Legends 79,Eddie C. Campbell,1979-01-01,285744,30,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.566,0.752,0.566,0.251,0.818,0.0764,-17.183,0.0298,96.721,4
31,Drown In My Own Tears,"Living Chicago Blues, Vol. 3",Various Artists,1980,280573,0,False,[],0.626,0.425,0.626,0.375,0.000653,0.118,-16.267,0.0743,96.171,1
32,Bad Avenue,Ain't It Nice To Be Loved,Lefty Dizz,2005-08-01,515159,29,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.432,0.0845,0.432,0.54,3.96e-06,0.154,-10.466,0.0721,95.998,4
