,name,album,artist,release_date,duration_ms,popularity,explicit,available_markets,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
14,Chanting Down The Wicked,Haunted Halloween Dub,The Robotiks,2010-10-25,254093,32,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.756,0.0248,0.756,0.372,0.88,0.095,-14.385,0.0763,135.059,4
15,Zionyouth,Keep The Pressure Down - Essential Roots Reggae Rarities,Various Artists,2005-09-15,188893,0,False,[],0.907,0.237,0.907,0.519,0.884,0.0789,-14.42,0.0719,141.571,4
16,The Bomber,Blackwood Dub,Sly & Robbie,2012-02-24,270826,0,True,[],0.663,0.00258,0.663,0.566,0.887,0.361,-13.662,0.135,161.33,4
17,Sailors Dub,At Channel One,Scientist,2013-12-17,180760,0,False,[],0.718,0.00867,0.718,0.485,0.903,0.0661,-7.866,0.0636,144.405,4
18,Jail House Dub,The Roots Of Dubstep,Mad Professor,2011-10-31,253453,37,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.857,0.0259,0.857,0.485,0.712,0.0858,-10.757,0.0637,134.416,4
19,Original Dub,The African Brothers Meet King Tubby In Dub,King Tubby,2005-08-23,144093,0,False,[],0.718,0.207,0.718,0.836,0.837,0.359,-7.406,0.0903,144.807,4
20,Jah Do That,Dubwise,Prince Far I,1991-01-01,237506,34,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.75,0.044,0.75,0.585,0.0121,0.112,-9.596,0.122,74.422,4
21,Fisher Man Dub,Essential Dub Masters,"Lee ""Scratch"" Perry",2009-02-01,218680,40,False,"['AD', 'AE', 'AT', 'BE', 'BG', 'BO', 'CA', 'CH', 'CY', 'CZ', 'DE', 'DK', 'DZ', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'HK', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'TH', 'TN', 'TW', 'UY', 'VN', 'ZA']",0.73,0.0238,0.73,0.584,0.0798,0.107,-7.441,0.0486,83.769,4
22,Peace & Love - Feat. Linval Thompson,Renegade Rocker,Dubmatix,2009-01-16,279493,0,False,[],0.69,0.0041,0.69,0.832,0.000205,0.365,-7.366,0.0403,129.956,4
23,Roots and Culture,The Prime of Mikey Dread,Mikey Dread,1998-01-01,365760,45,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.73,0.104,0.73,0.584,0.0406,0.347,-9.058,0.0825,144.039,4
